sample_id,proposed_url,contact_email_public,contact_email_source,industry,business_type,region_optional,why_candidate,source_url,review_status,notes
SB-001,https://ecserviceprovider.com/,info@ecserviceprovider.com,https://ecserviceprovider.com/,Accounting/bookkeeping/tax,Bookkeeping/accounting,Miami Gardens FL,Organic Illusion user mentioned by founder; public small-business accounting/bookkeeping site.,https://ecserviceprovider.com/about-us/,Needs review,Homepage should be audited if crawlable; source page confirms services and location.
SB-002,https://pancakefinancial.com/,luke@pancakefinancial.com,https://pancakefinancial.com/,Accounting/bookkeeping/tax,Bookkeeping,Oviedo/Orlando FL,"Founder-led bookkeeping site for small businesses, Airbnb hosts, and contractors.",https://pancakefinancial.com/,Needs review,
SB-003,https://jgbookkeepingfinance.com/,jose@jgbookkeepingfinance.com,https://jgbookkeepingfinance.com/,Accounting/bookkeeping/tax,Bookkeeping,New York NY,"Professional bookkeeping for small businesses across Long Island, Westchester, and the New York area.",https://jgbookkeepingfinance.com/,Needs review,East Coast replacement to reduce Florida concentration.
SB-004,https://www.arcandledger.com/,info@arcandledger.com,https://www.arcandledger.com/privacy-policy/,Accounting/bookkeeping/tax,Accounting/tax,Los Angeles CA,"LA accounting and tax firm serving expats, international clients, and small businesses.",https://www.arcandledger.com/,Needs review,West Coast replacement to broaden geographic mix.
SB-005,https://www.jacobsbookkeeping.com/,,not found on reviewed public pages,Accounting/bookkeeping/tax,Bookkeeping,Seattle WA,Small bookkeeping business serving small businesses in the Greater Seattle area.,https://www.jacobsbookkeeping.com/,Needs review,Pacific Northwest replacement to broaden geographic mix.
SB-006,https://redbudplumbing.com/,info@redbudplumbing.com,https://redbudplumbing.com/contact/,Home services,Plumbing,Austin TX,"Locally owned plumbing company with service pages, blog, reviews, and contact flow.",https://redbudplumbing.com/,Needs review,
SB-007,https://www.queenplumbingllc.com/,,not found on reviewed public pages,Home services,Plumbing,Seattle WA,Locally owned plumbing company serving Seattle and surrounding neighborhoods.,https://www.queenplumbingllc.com/,Needs review,West Coast replacement to reduce Austin concentration.
SB-008,https://www.atlantic-heat.com/,info@atlantic-heat.com,https://www.atlantic-heat.com/contact-us/,Home services,HVAC,Boston MA,"Family-owned Greater Boston HVAC company with emergency service, heating, cooling, and air quality pages.",https://www.atlantic-heat.com/,Needs review,East Coast replacement to reduce Denver concentration.
SB-009,https://fixitnowhvac.com/,,not found on reviewed public pages,Home services,HVAC,Denver CO,Denver Metro HVAC company; useful local-service website example.,https://fixitnowhvac.com/,Needs review,
SB-010,https://www.lunahomecomfort.com/,Lunahomecomfort25@gmail.com,https://www.lunahomecomfort.com/,Home services,HVAC,Seattle WA,Family-owned HVAC company serving Seattle and surrounding areas.,https://www.lunahomecomfort.com/,Needs review,West Coast replacement to broaden geographic mix.
SB-011,https://mossconsulting.com/,support@mossconsulting.com,https://mossconsulting.com/privacy-policy,Professional services,HR consulting,Multi-city/virtual,Fractional HR services for small businesses; strong fit for service-business audit.,https://mossconsulting.com/,Needs review,
SB-012,https://www.septaurasolutions.com/,septaurasolutions@gmail.com,https://www.septaurasolutions.com/,Professional services,HR consulting,New York/Connecticut,Fractional HR consulting for small and mid-sized businesses across New York and Connecticut.,https://www.septaurasolutions.com/,Needs review,East Coast professional-services candidate.
SB-013,https://warehamlaw.net/,attorneyciaffoni@aol.com,https://warehamlaw.net/,Professional services,Law firm,Wareham MA,Local Massachusetts law office suggested by founder; useful East Coast professional-services candidate.,https://warehamlaw.net/,Needs review,Replaced Florida law candidate to improve geographic balance.
SB-014,https://www.condieadams.com/,info@condieadams.com,https://www.condieadams.com/contact,Professional services,Law firm,Seattle WA,"Values-driven estate planning and probate law firm serving individuals, families, and small businesses.",https://www.condieadams.com/,Needs review,West Coast professional-services candidate.
SB-015,https://luminahrservices.com/,luminahrservices@gmail.com,https://www.callupcontact.com/b/businessprofile/hr_support_for_small_businesses/10061517,Professional services,HR consulting,Los Angeles CA,LA-based HR services firm focused on budget-friendly HR support for small businesses.,https://luminahrservices.com/,Needs review,West Coast professional-services candidate.
SB-016,https://www.balancedflowyoga.net/,aliceharperyoga@gmail.com,https://www.balancedflowyoga.net/contact,Health/wellness/services,Yoga studio,Seattle WA,"Small local yoga studio with local address, contact details, and class/service positioning.",https://www.balancedflowyoga.net/,Replacement for failed large-page audit,Replaced Oak and Lotus after audit failed max body size.
SB-017,https://www.radiantyogaboston.com/,info@radiantyogaboston.com,https://www.radiantyogaboston.com/,Health/wellness/services,Yoga studio,Boston MA,"Local Boston yoga studio with address, schedule, classes, and community positioning.",https://www.radiantyogaboston.com/,Needs review,East Coast health/wellness replacement.
SB-018,https://www.lightonlotus.com/,info@lightonlotus.com,https://www.union.fit/orgs/light-on-lotus/about,Health/wellness/services,Yoga studio,Los Angeles CA,"West LA yoga studio with classes, workshops, and wellness services.",https://www.lightonlotus.com/,Needs review,West Coast health/wellness replacement.
SB-019,https://www.sourcechirodenver.com/,info@sourcechirodenver.com,https://www.sourcechirodenver.com/contact-3,Health/wellness/services,Chiropractic,Denver CO,"Local chiropractic practice with team, address, hours, and offer.",https://www.sourcechirodenver.com/,Needs review,
SB-020,https://www.santeechiropractic.com/,,not found on reviewed public pages for exact sample URL,Health/wellness/services,Chiropractic,San Diego CA,Locally owned family chiropractic clinic serving East County San Diego.,https://www.santeechiropractic.com/,Needs review,West Coast health/wellness candidate.
SB-021,https://tryarena.app/,hello@tryarena.app,https://tryarena.app/privacy,Startup/SaaS/agency/consultant,SaaS startup,Remote,Early-stage founder/customer-discovery SaaS; useful startup landing-page sample.,https://tryarena.app/,Needs review,
