stat_id,planned_stat,source_columns,numerator,denominator,sample_ids_counted,sample_ids_spot_checked,checked_by,checked_at,status,notes
STAT-001,Average and median overall score,overall_score,avg=77.5; median=80,25,"SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025","SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,All rows had nonblank scores and matched the raw completed audit reports.
STAT-002,Average and median UX score,ux_score,avg=85.4; median=91,25,"SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025","SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,All rows had nonblank scores and matched the raw completed audit reports.
STAT-003,Average and median SEO/local score,seo_score,avg=72.0; median=71,25,"SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025","SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,All rows had nonblank scores and matched the raw completed audit reports.
STAT-004,Average and median AI-search score,ai_score,avg=75.1; median=75,25,"SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025","SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,All rows had nonblank scores and matched the raw completed audit reports.
STAT-005,Score distribution buckets,overall_score,0-49=1; 50-69=4; 70-84=9; 85+=11,25,"SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025","SB-001,SB-002,SB-003,SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,"0-49: SB-012; 50-69: SB-003,SB-022,SB-023,SB-025; 70-84: SB-001,SB-002,SB-011,SB-013,SB-015,SB-016,SB-017,SB-021,SB-024; 85+: SB-004,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-014,SB-018,SB-019,SB-020"
STAT-006,Sites missing useful FAQ or answer-style content,missing_faq,11,25,"SB-003,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-020,SB-022,SB-023,SB-025","SB-003,SB-012,SB-013,SB-014,SB-015,SB-016,SB-017,SB-020,SB-022,SB-023,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-007,Sites missing useful structured data,missing_local_schema,19,25,"SB-001,SB-002,SB-003,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-015,SB-019,SB-021,SB-022,SB-023,SB-024,SB-025","SB-001,SB-002,SB-003,SB-005,SB-006,SB-007,SB-008,SB-009,SB-010,SB-011,SB-012,SB-013,SB-015,SB-019,SB-021,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-008,Sites with weak or missing CTA,weak_or_missing_cta,5,25,"SB-003,SB-012,SB-022,SB-023,SB-025","SB-003,SB-012,SB-022,SB-023,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-009,Sites with weak location or audience clarity,weak_location_signals,11,25,"SB-003,SB-011,SB-012,SB-016,SB-017,SB-018,SB-021,SB-022,SB-023,SB-024,SB-025","SB-003,SB-011,SB-012,SB-016,SB-017,SB-018,SB-021,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-010,Sites missing visible reviews or testimonials,missing_reviews_or_testimonials,10,25,"SB-003,SB-012,SB-016,SB-017,SB-018,SB-019,SB-020,SB-022,SB-023,SB-025","SB-003,SB-012,SB-016,SB-017,SB-018,SB-019,SB-020,SB-022,SB-023,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-011,Sites missing crawlable contact information,missing_contact_info,6,25,"SB-003,SB-011,SB-012,SB-015,SB-022,SB-025","SB-003,SB-011,SB-012,SB-015,SB-022,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-012,Sites with poor image alt coverage,poor_image_alt_coverage,6,25,"SB-001,SB-006,SB-009,SB-013,SB-016,SB-018","SB-001,SB-006,SB-009,SB-013,SB-016,SB-018",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-013,Sites with AI crawler blocks,ai_crawler_block_detected,0,25,,,Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-014,Sites missing a sitemap,missing_sitemap,10,25,"SB-001,SB-002,SB-008,SB-009,SB-012,SB-013,SB-022,SB-023,SB-024,SB-025","SB-001,SB-002,SB-008,SB-009,SB-012,SB-013,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-015,Any mobile or performance issue,mobile_performance_rubric,not measured,25,,,Codex,2026-05-25T20:39:55+00:00,deferred_not_measured,"Do not publish a mobile/performance statistic from this dataset. The current analyzer does not run Lighthouse, Core Web Vitals, or visual mobile QA."
STAT-016,Sites missing dedicated service pages,missing_service_pages,14,25,"SB-002,SB-012,SB-013,SB-014,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025","SB-002,SB-012,SB-013,SB-014,SB-016,SB-017,SB-018,SB-019,SB-020,SB-021,SB-022,SB-023,SB-024,SB-025",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
STAT-017,Sites missing meta descriptions,missing_meta_description,8,25,"SB-001,SB-002,SB-003,SB-012,SB-013,SB-016,SB-017,SB-023","SB-001,SB-002,SB-003,SB-012,SB-013,SB-016,SB-017,SB-023",Codex,2026-05-25T20:39:55+00:00,verified,Every TRUE row was reconciled against deterministic fields in the raw audit report. Phrase as 'Illusion detected' and 'in this sample.'
