sample_id,domain,url,contact_email,contact_email_source,overall_score,subject,opener,personalized_actions,illusion_value_note,mailing_address,send_ready,email_body,pdf_path,markdown_path
SB-001,ecserviceprovider.com,https://ecserviceprovider.com/,info@ecserviceprovider.com,https://ecserviceprovider.com/,78,Quick AI-readiness notes for ecserviceprovider.com,"I ran a quick AI-readiness audit for ecserviceprovider.com. The site scored 78/100, and the biggest fixes were add a meta description, add one plain-language h1, and add localbusiness or professionalservice schema.","- Add a meta description: Add a one-sentence description of who you help, what you do, and how to contact you. Audit evidence: The homepage has no meta description.
- Add one plain-language H1: Use one headline that says exactly what the business is and who it serves. Audit evidence: The homepage does not have a visible H1 heading.
- Add LocalBusiness or ProfessionalService schema: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles. Audit evidence: Detected schema types: none
- Improve image alt text coverage: Add descriptive alt text to important images, especially logos, team photos, service graphics, and trust badges. Audit evidence: 22/56 crawled images had alt text.","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for ecserviceprovider.com and made you a short report. Your site scored 78/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Add a meta description. Found: The homepage has no meta description. Suggested direction: Add a one-sentence description of who you help, what you do, and how to contact you
- Add one plain-language H1. Found: The homepage does not have a visible H1 heading. Suggested direction: Use one headline that says exactly what the business is and who it serves
- Add LocalBusiness or ProfessionalService schema. Found: Detected schema types: none. Suggested direction: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles
- Improve image alt text coverage. Found: 22/56 crawled images had alt text. Suggested direction: Add descriptive alt text to important images, especially logos, team photos, service graphics, and trust badges

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-001-ecserviceprovider-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-001-ecserviceprovider-com-ai-website-audit.md
SB-002,pancakefinancial.com,https://pancakefinancial.com/,luke@pancakefinancial.com,https://pancakefinancial.com/,82,Quick AI-readiness notes for pancakefinancial.com,"I ran a quick AI-readiness audit for pancakefinancial.com. The site scored 82/100, and the biggest fixes were add a meta description, add localbusiness or professionalservice schema, and create dedicated service pages.","- Add a meta description: Add a one-sentence description of who you help, what you do, and how to contact you. Audit evidence: The homepage has no meta description.
- Add LocalBusiness or ProfessionalService schema: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles. Audit evidence: Detected schema types: none
- Create dedicated service pages: Create one page per main service with who it is for, what is included, pricing cues, FAQs, and a CTA. Audit evidence: The crawl did not find obvious service pages.
- Publish or expose a sitemap: Generate a sitemap.xml and reference it from robots.txt. Audit evidence: No sitemap URLs were found from /sitemap.xml or robots.txt.","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for pancakefinancial.com and made you a short report. Your site scored 82/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Add a meta description. Found: The homepage has no meta description. Suggested direction: Add a one-sentence description of who you help, what you do, and how to contact you
- Add LocalBusiness or ProfessionalService schema. Found: Detected schema types: none. Suggested direction: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles
- Create dedicated service pages. Found: The crawl did not find obvious service pages. Suggested direction: Create one page per main service with who it is for, what is included, pricing cues, FAQs, and a CTA
- Publish or expose a sitemap. Found: No sitemap URLs were found from /sitemap.xml or robots.txt. Suggested direction: Generate a sitemap.xml and reference it from robots.txt

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-002-pancakefinancial-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-002-pancakefinancial-com-ai-website-audit.md
SB-003,jgbookkeepingfinance.com,https://jgbookkeepingfinance.com/,jose@jgbookkeepingfinance.com,https://jgbookkeepingfinance.com/,50,Quick AI-readiness notes for jgbookkeepingfinance.com,"I ran a quick AI-readiness audit for jgbookkeepingfinance.com. The site scored 50/100, and the biggest fixes were make the title tag more descriptive, add a meta description, and add one plain-language h1.","- Make the title tag more descriptive: Expand the title with the main service and location or target customer. Audit evidence: Current title: ""Hostinger Horizons""
- Add a meta description: Add a one-sentence description of who you help, what you do, and how to contact you. Audit evidence: The homepage has no meta description.
- Add one plain-language H1: Use one headline that says exactly what the business is and who it serves. Audit evidence: The homepage does not have a visible H1 heading.
- Add a strong contact call to action: Place a visible CTA near the top of the homepage and repeat it on service pages. Audit evidence: The crawler did not find obvious phrases like book, call, schedule, contact, or get a quote.","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for jgbookkeepingfinance.com and made you a short report. Your site scored 50/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Make the title tag more descriptive. Found: Current title: ""Hostinger Horizons"". Suggested direction: Expand the title with the main service and location or target customer
- Add a meta description. Found: The homepage has no meta description. Suggested direction: Add a one-sentence description of who you help, what you do, and how to contact you
- Add one plain-language H1. Found: The homepage does not have a visible H1 heading. Suggested direction: Use one headline that says exactly what the business is and who it serves
- Add a strong contact call to action. Found: The crawler did not find obvious phrases like book, call, schedule, contact, or get a quote. Suggested direction: Place a visible CTA near the top of the homepage and repeat it on service pages

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-003-jgbookkeepingfinance-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-003-jgbookkeepingfinance-com-ai-website-audit.md
SB-004,arcandledger.com,https://www.arcandledger.com/,info@arcandledger.com,https://www.arcandledger.com/privacy-policy/,95,Quick AI-readiness notes for arcandledger.com,"I ran a quick AI-readiness audit for arcandledger.com. The site scored 95/100, and the biggest fixes were add a clear homepage title tag.","- Add a clear homepage title tag: Write a concise title that includes the business name, primary service, and location or audience. Audit evidence: The homepage does not expose a title tag.","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for arcandledger.com and made you a short report. Your site scored 95/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Add a clear homepage title tag. Found: The homepage does not expose a title tag. Suggested direction: Write a concise title that includes the business name, primary service, and location or audience

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-004-arcandledger-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-004-arcandledger-com-ai-website-audit.md
SB-005,jacobsbookkeeping.com,https://www.jacobsbookkeeping.com/,,not found on reviewed public pages,86,Quick AI-readiness notes for jacobsbookkeeping.com,"I ran a quick AI-readiness audit for jacobsbookkeeping.com. The site scored 86/100, and the biggest fixes were make the main headline more specific, and add localbusiness or professionalservice schema.","- Make the main headline more specific: Add the service, audience, and location instead of using a short brand-only headline. Audit evidence: Current H1: ""Jacobs Bookkeeping""
- Add LocalBusiness or ProfessionalService schema: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles. Audit evidence: Detected schema types: WebSite","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for jacobsbookkeeping.com and made you a short report. Your site scored 86/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Make the main headline more specific. Found: Current H1: ""Jacobs Bookkeeping"". Suggested direction: Add the service, audience, and location instead of using a short brand-only headline
- Add LocalBusiness or ProfessionalService schema. Found: Detected schema types: WebSite. Suggested direction: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-005-jacobsbookkeeping-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-005-jacobsbookkeeping-com-ai-website-audit.md
SB-006,redbudplumbing.com,https://redbudplumbing.com/,info@redbudplumbing.com,https://redbudplumbing.com/contact/,88,Quick AI-readiness notes for redbudplumbing.com,"I ran a quick AI-readiness audit for redbudplumbing.com. The site scored 88/100, and the biggest fixes were add localbusiness or professionalservice schema, and improve image alt text coverage.","- Add LocalBusiness or ProfessionalService schema: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles. Audit evidence: Detected schema types: BreadcrumbList, EntryPoint, ImageObject, ListItem, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite
- Improve image alt text coverage: Add descriptive alt text to important images, especially logos, team photos, service graphics, and trust badges. Audit evidence: 30/112 crawled images had alt text.","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for redbudplumbing.com and made you a short report. Your site scored 88/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Add LocalBusiness or ProfessionalService schema. Found: Detected schema types: BreadcrumbList, EntryPoint, ImageObject, ListItem, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite. Suggested direction: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles
- Improve image alt text coverage. Found: 30/112 crawled images had alt text. Suggested direction: Add descriptive alt text to important images, especially logos, team photos, service graphics, and trust badges

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-006-redbudplumbing-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-006-redbudplumbing-com-ai-website-audit.md
SB-007,queenplumbingllc.com,https://www.queenplumbingllc.com/,,not found on reviewed public pages,86,Quick AI-readiness notes for queenplumbingllc.com,"I ran a quick AI-readiness audit for queenplumbingllc.com. The site scored 86/100, and the biggest fixes were make the title tag more descriptive, and add localbusiness or professionalservice schema.","- Make the title tag more descriptive: Expand the title with the main service and location or target customer. Audit evidence: Current title: ""Queen Plumbing LLC""
- Add LocalBusiness or ProfessionalService schema: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles. Audit evidence: Detected schema types: Answer, FAQPage, Question","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for queenplumbingllc.com and made you a short report. Your site scored 86/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Make the title tag more descriptive. Found: Current title: ""Queen Plumbing LLC"". Suggested direction: Expand the title with the main service and location or target customer
- Add LocalBusiness or ProfessionalService schema. Found: Detected schema types: Answer, FAQPage, Question. Suggested direction: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-007-queenplumbingllc-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-007-queenplumbingllc-com-ai-website-audit.md
SB-008,atlantic-heat.com,https://www.atlantic-heat.com/,info@atlantic-heat.com,https://www.atlantic-heat.com/contact-us/,88,Quick AI-readiness notes for atlantic-heat.com,"I ran a quick AI-readiness audit for atlantic-heat.com. The site scored 88/100, and the biggest fixes were add localbusiness or professionalservice schema, and publish or expose a sitemap.","- Add LocalBusiness or ProfessionalService schema: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles. Audit evidence: Detected schema types: AggregateRating, BreadcrumbList, City, ContactPoint, GeoCoordinates, HVACBusiness, ImageObject, ListItem, Offer, OfferCatalog, OpeningHoursSpecification, Organization, Person, PostalAddress, Rating, Review, Service
- Publish or expose a sitemap: Generate a sitemap.xml and reference it from robots.txt. Audit evidence: No sitemap URLs were found from /sitemap.xml or robots.txt.","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for atlantic-heat.com and made you a short report. Your site scored 88/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Add LocalBusiness or ProfessionalService schema. Found: Detected schema types: AggregateRating, BreadcrumbList, City, ContactPoint, GeoCoordinates, HVACBusiness, ImageObject, ListItem, Offer, OfferCatalog, OpeningHoursSpecification, Organization, Person, PostalAddress, Rating, Review, Service. Suggested direction: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles
- Publish or expose a sitemap. Found: No sitemap URLs were found from /sitemap.xml or robots.txt. Suggested direction: Generate a sitemap.xml and reference it from robots.txt

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-008-atlantic-heat-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-008-atlantic-heat-com-ai-website-audit.md
SB-009,fixitnowhvac.com,https://fixitnowhvac.com/,,not found on reviewed public pages,88,Quick AI-readiness notes for fixitnowhvac.com,"I ran a quick AI-readiness audit for fixitnowhvac.com. The site scored 88/100, and the biggest fixes were add localbusiness or professionalservice schema, and publish or expose a sitemap.","- Add LocalBusiness or ProfessionalService schema: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles. Audit evidence: Detected schema types: BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, ReadAction, SearchAction, WebPage, WebSite
- Publish or expose a sitemap: Generate a sitemap.xml and reference it from robots.txt. Audit evidence: No sitemap URLs were found from /sitemap.xml or robots.txt.","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for fixitnowhvac.com and made you a short report. Your site scored 88/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Add LocalBusiness or ProfessionalService schema. Found: Detected schema types: BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, ReadAction, SearchAction, WebPage, WebSite. Suggested direction: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles
- Publish or expose a sitemap. Found: No sitemap URLs were found from /sitemap.xml or robots.txt. Suggested direction: Generate a sitemap.xml and reference it from robots.txt

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-009-fixitnowhvac-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-009-fixitnowhvac-com-ai-website-audit.md
SB-010,lunahomecomfort.com,https://www.lunahomecomfort.com/,Lunahomecomfort25@gmail.com,https://www.lunahomecomfort.com/,89,Quick AI-readiness notes for lunahomecomfort.com,"I ran a quick AI-readiness audit for lunahomecomfort.com. The site scored 89/100, and the biggest fixes were add localbusiness or professionalservice schema.","- Add LocalBusiness or ProfessionalService schema: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles. Audit evidence: Detected schema types: none","Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.",TODO: add physical mailing address or registered mailbox before sending,NO - add physical mailing address or registered mailbox before sending,"Hi,

I'm putting together a research piece on what small business websites get wrong before they are easy for Google and AI tools like ChatGPT, Claude, Gemini, and Perplexity to understand.

I ran a quick AI-readiness audit for lunahomecomfort.com and made you a short report. Your site scored 89/100 overall.

The reason this matters is simple: more customers are starting their search by asking questions like 'who is a good provider near me?' or 'what company should I hire for this?' Google and AI tools need clear signals from your website before they can confidently understand, summarize, or recommend your business.

The biggest things I found:

- Add LocalBusiness or ProfessionalService schema. Found: Detected schema types: none. Suggested direction: Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles

These are not cosmetic SEO issues. They affect whether search engines and AI tools can clearly tell what your business does, who it helps, whether it looks trustworthy, and what a potential customer should do next.

I attached the short report. I made it practical and kept it focused on the main fixes.

I will not name your business in the public research post unless you give permission; I'm using anonymized examples for the study.

You can rerun the free audit here:
https://www.illusion.ai/analyze

Illusion helps small businesses answer a simple question: when potential customers ask Google or AI tools for recommendations, does your business show up - or do your competitors? The first step is making sure your website clearly explains what you do, who you help, why someone should trust you, and how to contact you.

Disclosure: I'm the founder of Illusion, which offers AI search tracking and website cleanup services. I also offer a flat-fee website cleanup if you would rather have someone handle the fixes.

Let me know if you have any questions or want help fixing the issues.

Best,
David C
Founder, Illusion
https://www.illusion.ai
TODO: add physical mailing address or registered mailbox before sending",/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/pdf/SB-010-lunahomecomfort-com-ai-website-audit.pdf,/Volumes/1TB SSD/Claude Playground/workspace/ai-mention-tracker/growth/outreach-reports/markdown/SB-010-lunahomecomfort-com-ai-website-audit.md
