sample_id,date_audited,url_private_do_not_publish,industry,business_type,region_optional,contact_email_public,contact_email_source,overall_score,ux_score,seo_score,ai_score,pages_crawled,high_findings_count,medium_findings_count,low_findings_count,top_finding_1,top_finding_2,top_finding_3,missing_clear_h1,missing_meta_description,weak_or_missing_cta,missing_contact_info,missing_local_schema,missing_service_pages,weak_location_signals,missing_reviews_or_testimonials,missing_faq,poor_image_alt_coverage,ai_crawler_block_detected,missing_sitemap,anonymous_example_note,recommended_fix_note,service_clarity_rubric,location_or_audience_clarity_rubric,trust_signals_rubric,crawlability_rubric,structured_data_rubric,faq_answerability_rubric,cta_clarity_rubric,content_depth_rubric,ai_crawler_awareness_rubric,mobile_performance_rubric,rubric_total_score,rubric_reviewer,rubric_notes,spot_check_status,spot_check_notes,include_in_publishable_stats
SB-001,2026-05-25,https://ecserviceprovider.com/,Accounting/bookkeeping/tax,Bookkeeping/accounting,Miami Gardens FL,info@ecserviceprovider.com,https://ecserviceprovider.com/,78,100,67,68,6,2,1,2,Add a meta description,Add one plain-language H1,Add LocalBusiness or ProfessionalService schema,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,"Add a one-sentence description of who you help, what you do, and how to contact you.",1,2,2,1,0,2,2,2,2,,,Codex,"Service is understandable from title/services pages, but homepage lacks a plain H1. Key pages are crawlable; sitemap is missing. Mobile/performance not scored from analyzer data.",spot_checked_raw_audit,Compared sheet flags against raw completed report; corrected false contact/CTA/AI-crawler positives.,TRUE
SB-002,2026-05-25,https://pancakefinancial.com/,Accounting/bookkeeping/tax,Bookkeeping,Oviedo/Orlando FL,luke@pancakefinancial.com,https://pancakefinancial.com/,82,100,71,75,1,1,2,1,Add a meta description,Add LocalBusiness or ProfessionalService schema,Create dedicated service pages,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"Add a one-sentence description of who you help, what you do, and how to contact you.",2,2,2,1,0,2,2,1,2,,,Codex,"Clear homepage positioning and CTA. Only homepage was crawled, service-page depth and sitemap need work. Mobile/performance not scored from analyzer data.",spot_checked_raw_audit,Compared sheet flags against raw completed report; service pages/schema/sitemap remain valid issues.,TRUE
SB-003,2026-05-25,https://jgbookkeepingfinance.com/,Accounting/bookkeeping/tax,Bookkeeping,New York NY,jose@jgbookkeepingfinance.com,https://jgbookkeepingfinance.com/,50,50,41,59,5,4,5,0,Make the title tag more descriptive,Add a meta description,Add one plain-language H1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Expand the title with the main service and location or target customer.,0,0,0,0,0,0,0,0,2,,,Codex,"Crawler saw mostly placeholder Hostinger text across pages, so the business content is effectively unavailable to text crawlers. No AI-bot blocks detected. Mobile/performance not scored from analyzer data.",spot_checked_raw_audit,"Raw report showed placeholder title, no H1/meta/contact/CTA/reviews/FAQ/schema, and sitemap URLs present.",TRUE
SB-004,2026-05-25,https://www.arcandledger.com/,Accounting/bookkeeping/tax,Accounting/tax,Los Angeles CA,info@arcandledger.com,https://www.arcandledger.com/privacy-policy/,95,100,84,100,6,1,0,0,Add a clear homepage title tag,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Write a concise title that includes the business name, primary service, and location or audience.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-005,2026-05-25,https://www.jacobsbookkeeping.com/,Accounting/bookkeeping/tax,Bookkeeping,Seattle WA,,not found on reviewed public pages,86,100,84,75,6,1,1,0,Make the main headline more specific,Add LocalBusiness or ProfessionalService schema,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Add the service, audience, and location instead of using a short brand-only headline.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-006,2026-05-25,https://redbudplumbing.com/,Home services,Plumbing,Austin TX,info@redbudplumbing.com,https://redbudplumbing.com/contact/,88,100,80,84,6,1,0,1,Add LocalBusiness or ProfessionalService schema,Improve image alt text coverage,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-007,2026-05-25,https://www.queenplumbingllc.com/,Home services,Plumbing,Seattle WA,,not found on reviewed public pages,86,100,75,84,6,1,1,0,Make the title tag more descriptive,Add LocalBusiness or ProfessionalService schema,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Expand the title with the main service and location or target customer.,,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-008,2026-05-25,https://www.atlantic-heat.com/,Home services,HVAC,Boston MA,info@atlantic-heat.com,https://www.atlantic-heat.com/contact-us/,88,100,80,84,6,1,0,1,Add LocalBusiness or ProfessionalService schema,Publish or expose a sitemap,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-009,2026-05-25,https://fixitnowhvac.com/,Home services,HVAC,Denver CO,,not found on reviewed public pages,88,100,80,84,6,1,0,1,Add LocalBusiness or ProfessionalService schema,Publish or expose a sitemap,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,"Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-010,2026-05-25,https://www.lunahomecomfort.com/,Home services,HVAC,Seattle WA,Lunahomecomfort25@gmail.com,https://www.lunahomecomfort.com/,89,100,84,84,6,1,0,0,Add LocalBusiness or ProfessionalService schema,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
